last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Greene, Hunter,668881,CIN,FF,4-Seamer,1.4,12,863,52.2,206,0.299,0.632,0.432,26.10,25.7,20.9,0.288,0.606,0.421,50.4
Urquidy, José,664353,HOU,FF,4-Seamer,-0.8,-6,819,54.2,205,0.262,0.492,0.341,18.80,15.6,14.5,0.317,0.664,0.427,54.1
Kopech, Michael,656629,CWS,FF,4-Seamer,-0.4,-4,867,62,204,0.194,0.371,0.313,25.70,24.5,22.3,0.22,0.447,0.342,47.5
Verlander, Justin,434378,HOU,FF,4-Seamer,-1.2,-10,807,49.8,201,0.219,0.35,0.286,15.20,12.4,12.9,0.283,0.515,0.358,44.1
Dunning, Dane,641540,TEX,SIFT,Sinker,0.3,2,631,40.6,200,0.288,0.459,0.383,12.50,17.5,26.1,0.276,0.46,0.366,44.9
Rogers, Trevor,669432,MIA,FF,4-Seamer,1.2,10,817,52.2,198,0.314,0.562,0.418,24.20,21.7,18.2,0.31,0.592,0.424,45.2
Corbin, Patrick,571578,WSH,SIFT,Sinker,1.6,10,609,35.6,197,0.318,0.497,0.406,12.50,17.8,18,0.324,0.575,0.408,50.7
Bumgarner, Madison,518516,ARI,FC,Cutter,0.2,1,664,39.2,196,0.287,0.464,0.354,15.90,18.4,15.8,0.297,0.517,0.368,43.2
Quantrill, Cal,615698,CLE,SIFT,Sinker,-0.2,-2,719,45.7,195,0.283,0.41,0.34,11.60,9.2,9,0.294,0.458,0.356,28
Steele, Justin,657006,CHC,FF,4-Seamer,0.5,4,786,56.2,191,0.316,0.399,0.391,17.50,12.6,14.3,0.299,0.363,0.351,33.8
Gore, MacKenzie,669022,SD,FF,4-Seamer,-0.9,-7,744,60.9,190,0.23,0.333,0.297,18.70,21.6,19.7,0.273,0.462,0.355,47.6
Gausman, Kevin,592332,TOR,FF,4-Seamer,-0.2,-1,737,49.1,187,0.356,0.475,0.385,15.40,16,16.3,0.344,0.611,0.413,48.3
Houser, Adrian,605288,MIL,SIFT,Sinker,-0.1,-1,659,48.7,187,0.297,0.442,0.372,13.40,10.2,13.1,0.323,0.513,0.39,39.5
Cease, Dylan,656302,CWS,SL,Slider,-3.2,-24,743,40.3,187,0.124,0.169,0.169,48.80,45.5,32.7,0.137,0.213,0.177,20.7
Brubaker, JT,664141,PIT,SIFT,Sinker,-0.9,-6,619,39.8,184,0.27,0.39,0.348,16.00,16.3,18.2,0.265,0.422,0.345,36.9
Anderson, Ian,666120,ATL,FF,4-Seamer,0.7,5,761,46.5,182,0.318,0.468,0.393,18.20,11,10.5,0.298,0.456,0.379,47.8
Ray, Robbie,592662,SEA,SL,Slider,-0.4,-3,694,38.2,181,0.18,0.343,0.244,41.70,36.5,24,0.219,0.38,0.27,43
Greene, Hunter,668881,CIN,SL,Slider,-0.1,-1,703,42.6,180,0.172,0.344,0.274,36.70,33.3,21.9,0.177,0.323,0.253,28.6
Urías, Julio,628711,LAD,FF,4-Seamer,-1,-7,668,45.9,178,0.18,0.329,0.283,25.60,24.7,25.1,0.214,0.386,0.294,31.6
Pérez, Martín,527048,TEX,SIFT,Sinker,-0.2,-1,593,35.6,176,0.266,0.37,0.326,14.30,21,26.4,0.241,0.39,0.315,42
Webb, Logan,657277,SF,CH,Changeup,-1.4,-8,570,31.6,176,0.199,0.295,0.253,26.90,25.6,21,0.248,0.373,0.288,43.8
Gonzales, Marco,594835,SEA,CH,Changeup,-0.4,-2,516,32.6,175,0.256,0.44,0.325,23.00,18.3,15.2,0.244,0.404,0.289,33.8
Gray, Jon,592351,TEX,FF,4-Seamer,-0.6,-4,724,50.1,173,0.276,0.41,0.337,19.00,20.8,17.2,0.293,0.492,0.365,43.8
Ryan, Joe,657746,MIN,FF,4-Seamer,-1.8,-13,701,58,172,0.159,0.285,0.249,24.10,23.8,18.5,0.229,0.46,0.334,45
Suárez, Ranger,624133,PHI,SIFT,Sinker,-1.1,-8,664,46.1,172,0.245,0.323,0.318,11.60,16.9,17.4,0.283,0.435,0.344,37.3
Pallante, Andre,669467,STL,FF,4-Seamer,-0.3,-2,636,54.5,170,0.303,0.401,0.353,13.40,10,12.1,0.29,0.413,0.342,47.8
Montgomery, Jordan,656756,NYY,SIFT,Sinker,-2.1,-12,564,38.2,170,0.218,0.314,0.279,18.00,14.7,22.5,0.304,0.446,0.348,38.3
Fried, Max,608331,ATL,FF,4-Seamer,-0.8,-5,583,32.4,167,0.283,0.408,0.333,15.80,15.6,15.4,0.275,0.435,0.338,36.2
