last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Thompson, Ryan,657044,91.4,89.8,86.5,79,81.1,,,
Alvarado, José,621237,97,99.5,93.8,,,87.6,,
Peralta, Wandy,593974,95.2,95.3,,87.7,88.3,,,
Schreiber, John,670167,94.4,93.4,,82,88.4,,,
Sanchez, Aaron,592717,91.9,92,,,88,78.8,,
Alexander, Tyler,641302,90.2,90,85.3,78.7,83.2,,,
Garcia, Yimi,554340,94.7,93.3,,88.9,87.4,82.2,,
Peters, Dillon,596071,92.9,92.5,,84.7,84.8,76.8,,
Armstrong, Shawn,542888,95.2,95.6,91.7,85.8,,,,
Ober, Bailey,641927,91.6,,,83,84.2,76.3,,
Kennedy, Ian,453178,93.3,,85.9,,86,80.3,,
Stephenson, Robert,596112,96.9,,,83.8,,77.5,88.6,
Hand, Brad,543272,92.5,92.3,,79.1,,,,
Gott, Trevor,641627,95.3,95,91.7,,90.2,82.7,,
Liberatore, Matthew,669461,93.2,92.8,,85.9,85.2,74.1,,
Rainey, Tanner,663432,97,,,88.4,89.1,,,
Iglesias, Raisel,628452,95.1,95.1,,84,88.7,,,
Luzardo, Jesús,666200,97.2,96.4,,,87.2,84.2,,
Raley, Brooks,548384,,90.8,88.2,81.4,85.5,80.6,,
Fleming, Josh,676596,91.3,91.6,84.2,,82.3,79.7,,
Pérez, Cionel,672335,96.7,96,,83.9,,,,
Littell, Zack,641793,94.3,,,87.5,,,85.6,
Bush, Matt,456713,97.2,,92.7,,,81.2,,
Poche, Colin,621363,93.4,,,81.2,,77.6,,
Cotton, Jharel,605194,92.8,,,79.8,79.9,76.5,,
King, John,667463,,92.4,86.7,78.1,80.3,,,
Moll, Sam,594580,,93.3,,81.6,,,,
Bickford, Phil,641360,93.7,,,83.2,,,,
Rodríguez, Joely,570257,92.7,92.8,,84.3,87.9,,,
Clase, Emmanuel,661403,100.1,,99.7,92,,,,
Brash, Matt,666374,96.4,,,85.2,85.9,83.1,,
Cessa, Luis,570666,93.9,94.1,,82.8,88.4,,,
Chafin, Andrew,605177,91.2,91,,82.6,83.4,,,
Danish, Tyler,641501,91.5,91.1,,87.1,84.6,81.4,,
Abreu, Albert,656061,97.9,98.3,,88.5,88,,,
Wilson, Steven,621051,95.2,,,81.7,85.4,,,
Martin, Chris,455119,95.1,94.5,91.2,84,,83.9,88.1,
Wendelken, J.B.,605525,95,94.4,,85.9,85.5,80.4,,
De Los Santos, Enyel,660853,95.7,,,83.8,87.9,,,
Castro, Miguel,612434,,97.8,,85.8,92.4,,,
Martin, Brett,656685,93.6,93.7,,86.6,,82.8,,
Ureña, José,570632,96.1,95.9,,87.6,90.5,,,
Wittgren, Nick,621295,91.4,91,88.1,82,84,,,
Moreta, Dauri,664294,95.8,96.2,,85.7,88,,,
Nelson, Kyle,669459,92,,,84.3,,77,,
Shreve, Chasen,592741,90.6,,,80.9,,,82.9,
Warren, Art,605521,94,,,85.5,,,,
Nance, Tommy,667297,93.5,94.2,,86.7,,85.2,,
Sandlin, Nick,680704,93.8,93.6,,79.6,,,87.8,
Swanson, Erik,657024,93.9,,,84.9,,,83.7,
Garrett, Amir,607237,93.9,94.4,,84.4,,,,
Howard, Spencer,675921,94.8,,84.5,,79.8,75.5,,
Hughes, Brandon,676714,92.7,93.2,,82.5,85.3,,,
McFarland, T.J.,519008,,88.9,,79.7,81.8,,,
Festa, Matthew,670036,92.8,93.9,,82.9,,83.9,,
Strahm, Matt,621381,94.4,94.2,,88.8,88.7,83,,
Banda, Anthony,607455,95.3,93,,84.7,86.8,81.1,,
Kuhnel, Joel,669270,95.9,95.7,,86.5,90,,,
Underwood Jr., Duane,621249,96.1,95.7,92,,89.9,81.9,,
Marte, Yunior,628708,97.8,96.7,,85.6,90.9,,,
Barlow, Joe,669618,94.8,94.9,,87.4,,81.4,,
Poteet, Cody,547001,94.9,94,,85.7,87.7,77.8,,
Head, Louis,545343,93.5,,,82.2,88.3,,,
Martin, Davis,663436,93.9,,,84.7,85.1,79.5,,
Garza Jr., Ralph,621248,91.2,87.7,89.5,77.4,83,79.9,,
Baz, Shane,669358,96,,,87.7,88.5,82.3,,
