last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
López, Reynaldo,625643,97,,,87.4,85.7,80.4,,
Jansen, Kenley,445276,,93.8,92.4,81.3,,,,
Foster, Matt,641582,93.7,,92.6,85.8,83.9,79.6,,
Murfee, Penn,682171,89.1,89,,79.8,,,,
Schreiber, John,670167,94.6,93.4,,82.1,88.3,,,
García, Jarlín,606424,93.7,,,82.6,85.2,,,
Long, Sam,669674,94.7,93,,,84.3,77,,
Helsley, Ryan,664854,99.3,,,88.8,89.7,80,,
Bednar, David,670280,96.5,95.2,,,,77.3,89.8,
Sewald, Paul,623149,92.5,,,82.7,,,,
Bass, Anthony,542914,95,95.4,,86.4,,,86.6,
Norris, Daniel,596057,91.4,91,,80.2,86.7,76,,
Adam, Jason,592094,94.8,,,81.4,89.9,79.6,,
Thielbar, Caleb,573204,92.7,,,81,82.7,72.8,,
Stephan, Trevor,663986,96.6,,,86.4,,,88,
Herget, Jimmy,623474,92.1,90.5,,83,84.1,74.7,,
Shaw, Bryan,543766,92.8,,92.8,84.3,81.7,82.3,,
Leone, Dominic,608678,95.5,94.8,91.3,85.1,,,,
Bard, Daniel,453268,97.2,98.1,,88.4,90.4,,,
Wisler, Matt,605538,89.7,,,79.8,,,,
Duffey, Tyler,608648,92.3,92.4,,,79.1,82.7,,
Foley, Jason,671345,96.2,96.2,,85.7,89.4,,,
Bickford, Phil,641360,94,,,83.3,,,,
Armstrong, Shawn,542888,95.4,95.7,92,85.8,,,,
Falter, Bailey,663559,91.3,90.9,,83.3,82.6,76.1,,
Winder, Josh,680739,94,,,84.2,88.5,80.8,,
Garcia, Yimi,554340,94.8,93.5,,89,87.4,82.1,,
García, Luis,472610,97.1,98.5,,82.7,,,88.6,
Hader, Josh,623352,95.7,97.3,,83.6,87.7,,,
Hill, Garrett,682051,91.2,91.3,,82,81.7,76.9,,
Chacín, Jhoulys,468504,92.7,93.1,,87.1,85.4,80,,
Richards, Garrett,572070,94.4,95.7,,88.6,90,76.7,,
Bellatti, Andrew,571479,94.4,,,85.9,89.6,,,
Hernández, Carlos,672578,96,94.1,,85.4,,81.2,84.3,
Vesia, Alex,681911,93.9,,,84.8,85.4,,,
Hentges, Sam,656529,95.6,95.4,,88,,81.2,,
Luetge, Lucas,476595,,,87.8,77.8,,73.5,,
Abreu, Albert,656061,97.6,98.5,,88.7,88,,,
Peralta, Wandy,593974,95.3,95.4,,87.6,88.4,,,
Megill, Tylor,656731,95.7,,87.6,85.3,89.1,80.4,,
Peralta, Wily,503449,95.4,95.5,,83.6,,,82.6,
Howard, Spencer,675921,94.4,,84.8,,79.5,75,,
Smith, Drew,622098,95.8,95.6,,85.3,85.1,77.7,,
Colomé, Alex,517008,94.5,,90.8,,,,,
Mantiply, Joe,573009,90.8,90.4,,,82.6,81.1,,
Hendriks, Liam,521230,97.5,,,89,,85.7,,
Staumont, Josh,622251,96.2,97.2,,,,82.3,,
Poche, Colin,621363,93.3,,,79.5,,77.5,,
Iglesias, Raisel,628452,95,95,,84.1,88.5,,,
Gutierrez, Vladimir,661269,92.8,,,82.2,82.9,78.4,,
Phillips, Evan,623465,96,96.7,93.4,85.3,,,,
Romano, Jordan,605447,96.6,96.5,,87.1,,,,
Cabrera, Génesis,650893,96.2,96.1,,,90.1,79.3,,
Stanek, Ryne,592773,98.5,,,87.2,,,88.7,
Pérez, Cionel,672335,96.9,96.4,,84,,,,
Stephenson, Robert,596112,96.9,,,83.8,,77.4,88.1,
Santana, Dennis,642701,97.8,96.6,,85.6,89.8,,,
Brash, Matt,666374,96.6,,,85.9,85.9,84,,
Kennedy, Ian,453178,93.4,,85.9,,85.9,80,,
Melancon, Mark,453343,91.8,,90.9,,,81.8,84.1,
Tepera, Ryan,572193,92.6,93,,86.2,85.7,80.4,,
Familia, Jeurys,544727,95.6,95.3,,88.7,,,92.1,
Raley, Brooks,548384,90.3,90.7,88.1,81.4,85.5,80.8,,
Hughes, Brandon,676714,92.9,93,,82.9,85.3,,,
Bush, Matt,456713,97.3,,92.8,,,81.2,,
Domínguez, Seranthony,622554,97.4,98.1,,89.2,91.9,,,
Underwood Jr., Duane,621249,96.1,95.5,92.3,,89.6,82,,
Swarmer, Matt,664161,90.5,,,82.1,85.7,,,
Sánchez, Aníbal,434671,90.1,89.3,87.7,83.2,80.3,75.6,,
Alvarado, José,621237,97.4,99.5,93.8,,,86.5,,
De Los Santos, Enyel,660853,95.5,,,83.4,87.8,,,
Pineda, Michael,501381,89.8,,,80.5,85.3,,,
Moll, Sam,594580,,93.3,,81.7,,,,
Martin, Chris,455119,95.2,94.5,91.5,84.3,,83.8,88.3,
Castillo, Diego,650895,95.6,95.1,,88.3,,,,
Swanson, Erik,657024,93.8,,,84.8,,,83.5,
Thompson, Ryan,657044,91.6,90,87.2,79.4,81.1,,,
Chafin, Andrew,605177,91.3,91.2,,82.7,83.4,,,
Hand, Brad,543272,92.5,92.4,,79.1,,,,
Clase, Emmanuel,661403,99.9,,99.6,91.9,,,,
Thornton, Trent,663423,93.8,92.9,,82.2,,79.7,,
Rodríguez, Joely,570257,92.6,92.8,,84.2,87.9,,,
Peters, Dillon,596071,92.9,92.5,,84.7,84.8,77.3,,
Festa, Matthew,670036,92.6,93.9,,82.8,,83.9,,
Wilson, Steven,621051,95.1,,,81.6,85.3,,,
Gott, Trevor,641627,95.3,95.1,91.7,,90.2,82.8,,
Sanchez, Aaron,592717,92.2,92,,,87.9,79,,
Martin, Brett,656685,93.6,93.6,,86.8,,82.8,,
Jefferies, Daulton,641726,92.3,92.5,89.5,,86,80.1,,
Heaney, Andrew,571760,92.5,,,82.8,85.2,,,
Arano, Víctor,644364,94.5,94,,84.8,,,,
Blach, Ty,621389,,91,85,,80.7,79.1,,
Pepiot, Ryan,686752,94.1,,,86.9,86.7,,,
Garrett, Amir,607237,93.9,93.4,,84.5,,,,
Cessa, Luis,570666,93.9,94.1,,82.9,88.4,,,
Marte, Yunior,628708,97.9,96.8,,85.8,90.9,,,
Cotton, Jharel,605194,92.9,,,79.8,79.8,76.6,,
Bleier, Richard,542947,90.6,89.7,87.4,77.7,82.9,,,
Castano, Daniel,641447,92,89.4,86.5,81.2,84,,,
Martin, Davis,663436,93.8,,,84.5,85.2,79.5,,
Pruitt, Austin,643493,91.5,,,87.6,86,80.9,,
Wantz, Andrew,681806,93.6,,87.7,81.3,87.3,,,
Ortega, Oliver,661383,95.9,96.6,94,,,82.3,,
Kuhnel, Joel,669270,96,95.8,,86.7,90,,,
Chapman, Aroldis,547973,97.6,100.3,,85.7,,,87.9,
Gilbert, Tyler,656457,89.5,89.7,86.2,,,76.2,81.7,
Floro, Dylan,571670,92.1,92.2,,83.9,85,,,
Rucker, Michael,621074,94.9,,88.4,86.1,90.1,80.6,,
Littell, Zack,641793,94.4,,,87.5,,,85.6,
King, John,667463,,92.4,86.7,78.2,80.3,,,
Stammen, Craig,489334,,91.3,87.8,,86,80.2,,
Cabrera, Edward,665795,96.4,95.9,,86.5,92.9,83.5,,
Nance, Tommy,667297,93.4,94.1,,86.7,,85.2,,
Graterol, Brusdar,660813,99.3,99.9,95.5,90.2,,,,
Sandlin, Nick,680704,93.7,93.6,,79.3,,,88,
Lee, Dylan,669276,92.3,,,85.3,86.4,83.5,,
Sears, JP,676664,93.5,,,79.8,83.4,,,
Lambert, Jimmy,669424,94.3,,,84.6,85.4,76.6,,
Pressly, Ryan,519151,94.4,,,89.5,,80.8,,
